Beta,Avg Plaq,Plaq Sus,Jacknif Action Var,Jacknife Sus Var ,binder cum,Jacknife Binder cum,tau
0.4391,0.697934,0.0434861,0.000853603,8.84834e-08,0.649171,1.04708e-07,1
0.4392,0.80252,0.0336544,0.000648484,2.55787e-05,0.608182,0.000150287,6

