Beta,Avg Plaq,Plaq Sus,Jackknife Action SD,Jackknife Sus SD
0.4331614114114114,0.48060241728684333,0.00025424861899424637,0.00040768003945226166,7.1663904470036984e-06
0.4331619119119119,0.480603406801566,0.0002542520023659005,0.0004076891433413423,7.16690396433731e-06
0.43316241241241243,0.48060439632945645,0.00025425538581463604,0.00040769824937427054,7.167417544311779e-06
0.4331629129129129,0.4806053858705153,0.00025425876934045895,0.00040770735755155774,7.167931186930843e-06
0.4331634134134134,0.4806063754247423,0.00025426215294337487,0.0004077164678730996,7.168444892198573e-06
0.4331639139139139,0.48060736499213813,0.0002542655366233898,0.00040772558033949234,7.168958660118664e-06
0.4331644144144144,0.48060835457270323,0.00025426892038050975,0.00040773469495069024,7.169472490695022e-06
0.43316491491491493,0.48060934416643747,0.00025427230421474036,0.0004077438117072531,7.169986383931526e-06
0.4331654154154154,0.48061033377334145,0.00025427568812608757,0.00040775293060926374,7.170500339832131e-06
0.4331659159159159,0.4806113233934153,0.0002542790721145574,0.0004077620516568924,7.171014358400627e-06
0.4331664164164164,0.4806123130266596,0.00025428245618015554,0.0004077711748505824,7.171528439640788e-06
0.4331669169169169,0.48061330267307445,0.00025428584032288813,0.0004077803001905056,7.172042583556582e-06
0.43316741741741743,0.48061429233266006,0.00025428922454276073,0.00040778942767683983,7.17255679015195e-06
0.4331679179179179,0.48061528200541687,0.00025429260883977936,0.0004077985573099322,7.173071059430634e-06
0.4331684184184184,0.4806162716913452,0.00025429599321394997,0.00040780768909002207,7.1735853913965845e-06
0.4331689189189189,0.48061726139044525,0.0002542993776652784,0.0004078168230173922,7.174099786053537e-06
0.4331694194194194,0.48061825110271755,0.0002543027621937705,0.0004078259590922634,7.174614243405513e-06
0.43316991991991993,0.4806192408281618,0.00025430614679943197,0.0004078350973148156,7.175128763456443e-06
0.4331704204204204,0.48062023056677905,0.00025430953148226904,0.00040784423768542736,7.175643346209933e-06
0.4331709209209209,0.48062122031856913,0.00025431291624228747,0.00040785338020432133,7.176157991670086e-06
0.4331714214214214,0.4806222100835326,0.000254316301079493,0.00040786252487171715,7.176672699840642e-06
0.43317192192192194,0.48062319986166957,0.00025431968599389166,0.000407871671687872,7.177187470725525e-06
0.43317242242242243,0.48062418965298054,0.0002543230709854894,0.0004078808206531041,7.17770230432864e-06
0.4331729229229229,0.4806251794574655,0.0002543264560542918,0.00040788997176753307,7.178217200653806e-06
0.4331734234234234,0.4806261692751249,0.0002543298412003051,0.0004078991250315932,7.178732159704932e-06
0.4331739239239239,0.4806271591059594,0.000254333226423535,0.00040790828044532046,7.179247181485824e-06
0.43317442442442444,0.4806281489499687,0.00025433661172398735,0.00040791743800919303,7.1797622660004426e-06
0.43317492492492493,0.48062913880715324,0.0002543399971016681,0.00040792659772333195,7.180277413252603e-06
0.4331754254254254,0.4806301286775136,0.00025434338255658323,0.00040793575958806205,7.180792623246228e-06
0.4331759259259259,0.4806311185610502,0.0002543467680887386,0.0004079449236035131,7.181307895985022e-06
0.4331764264264264,0.4806321084577627,0.0002543501536981399,0.00040795408977008593,7.18182323147318e-06
0.43317692692692694,0.48063309836765195,0.0002543535393847933,0.0004079632580879865,7.182338629714263e-06
0.43317742742742743,0.48063408829071813,0.0002543569251487045,0.00040797242855746354,7.182854090712277e-06
0.4331779279279279,0.4806350782269614,0.0002543603109898794,0.00040798160117880034,7.183369614471137e-06
0.4331784284284284,0.48063606817638194,0.00025436369690832393,0.00040799077595215323,7.183885200994701e-06
0.43317892892892895,0.4806370581389805,0.00025436708290404406,0.00040799995287787804,7.184400850286692e-06
0.43317942942942944,0.4806380481147572,0.00025437046897704564,0.00040800913195613306,7.184916562351137e-06
0.43317992992992993,0.4806390381037121,0.0002543738551273345,0.00040801831318737134,7.18543233719194e-06
0.4331804304304304,0.48064002810584583,0.0002543772413549166,0.00040802749657159747,7.1859481748128625e-06
0.4331809309309309,0.48064101812115845,0.0002543806276597978,0.00040803668210913683,7.186464075217849e-06
0.43318143143143145,0.4806420081496504,0.00025438401404198396,0.0004080458698004506,7.186980038410732e-06
0.43318193193193194,0.48064299819132195,0.00025438740050148106,0.0004080550596454821,7.187496064395458e-06
0.43318243243243243,0.4806439882461733,0.000254390787038295,0.0004080642516447546,7.188012153175832e-06
0.4331829329329329,0.48064497831420483,0.0002543941736524316,0.00040807344579841853,7.188528304755753e-06
0.4331834334334334,0.480645968395417,0.00025439756034389684,0.00040808264210666627,7.189044519139079e-06
0.43318393393393395,0.48064695848980976,0.0002544009471126965,0.0004080918405697818,7.1895607963297705e-06
0.43318443443443444,0.48064794859738386,0.00025440433395883667,0.0004081010411879919,7.1900771363315415e-06
0.43318493493493493,0.48064893871813913,0.000254407720882323,0.00040811024396164596,7.190593539148474e-06
0.4331854354354354,0.48064992885207625,0.00025441110788316173,0.0004081194488908964,7.191110004784281e-06
0.4331859359359359,0.48065091899919526,0.00025441449496135837,0.00040812865597616673,7.191626533242932e-06
0.43318643643643645,0.4806519091594966,0.0002544178821169191,0.0004081378652175621,7.192143124528242e-06
0.43318693693693694,0.48065289933298044,0.00025442126934984967,0.0004081470766154281,7.192659778644211e-06
0.43318743743743743,0.48065388951964727,0.0002544246566601562,0.0004081562901698603,7.193176495594559e-06
0.4331879379379379,0.4806548797194972,0.0002544280440478443,0.00040816550588129556,7.193693275383241e-06
0.43318843843843846,0.4806558699325309,0.0002544314315129201,0.00040817472374983033,7.1942101180140905e-06
0.43318893893893895,0.48065686015874803,0.0002544348190553894,0.0004081839437759077,7.1947270234911506e-06
0.43318943943943944,0.4806578503981495,0.00025443820667525813,0.00040819316595960007,7.195243991818049e-06
0.4331899399399399,0.4806588406507352,0.00025444159437253226,0.0004082023903012315,7.195761022998918e-06
0.4331904404404404,0.48065983091650577,0.0002544449821472175,0.0004082116168011928,7.196278117037412e-06
0.43319094094094096,0.4806608211954612,0.00025444836999932,0.00040822084545947044,7.19679527393755e-06
0.43319144144144145,0.4806618114876021,0.00025445175792884555,0.0004082300762765712,7.19731249370318e-06
0.43319194194194194,0.4806628017929285,0.00025445514593580007,0.000408239309252659,7.197829776338205e-06
0.4331924424424424,0.4806637921114409,0.0002544585340201895,0.00040824854438790834,7.198347121846441e-06
0.4331929429429429,0.4806647824431393,0.00025446192218201965,0.0004082577816826476,7.198864530231853e-06
