Lattice_Size,Critical_Beta,FWHM,Peak,Critical_Beta_SD,FWHM_SD,Peak_SD
3 , 0.4309860460628151 , 0.021572944247336103 , 21.060887312689314 , 0.00010695919655327424 , 0.0005862653268459628 , 0.09737945983712519
4 , 0.43742047510066234 , 0.007474900374992054 , 67.20249099090748 , 0.00011415455121977065 , 0.0008779561085632229 , 0.34466970310582745
5 , 0.43910516296580787 , 0.0024787966256264522 , 163.36001690961206 , 3.7223971315603542e-06 , 6.622614013458906e-05 , 0.2758950675247432
