Beta,Avg Plaq,Plaq Sus,Jackknife Action SD,Jackknife Sus SD
0.43,0.47942574860000003,4.234461245089687,0.0008162214066358819,0.3418415569863832
0.431,0.48486754519999997,6.352597017669975,0.0010251592462331076,0.5371559917456258
0.432,0.49318440869999997,9.833215884600522,0.0015063640671391476,0.7884187301592233
0.433,0.5045217463999999,14.750399301158536,0.001722730247374691,0.8698638672262324
0.434,0.5284886401,26.371049773014178,0.0029632215056215926,1.391040883636307
0.435,0.562200583,40.98103727005334,0.0042110858170796555,1.6423616986971243
0.436,0.618390658,58.56413628099446,0.006228868062655544,1.507259188444484
0.437,0.6703499637999999,66.3606164738336,0.0042156246057830455,0.3588284618143126
0.438,0.7387277999,65.17802490189169,0.007320656911126728,0.9163394185655062
0.439,0.7958697920000001,53.087454451006984,0.006591412073255197,1.8959071109001835
