Lattice_Size,Histogram_Peak,Histogram_mean,Histogtam_FWHM,Peak_SD,Mean_SD,FWHM_SD
3, 0.02010,0.47635,0.15747,0.00046,0.00321,0.00360
4, 0.03169,0.48794,0.08834,0.00085,0.00327,0.00162
5, 0.04078,0.49363,0.05831,0.00081,0.00147,0.00128
