0.428000,0.429000,0.430000,0.431000,0.432000,0.433000,0.434000,0.435000,0.436000,0.437000
0.950617,0.945473,0.926955,0.479424,0.497942,0.9393,0.728395,0.66358,0.496914,0.958848
0.790123,0.515432,0.476337,0.445473,0.470165,0.735597,0.946502,0.419753,0.940329,0.957819
0.435185,0.869342,0.467078,0.50823,0.933128,0.50823,0.973251,0.968107,0.966049,0.762346
0.99177,0.682099,0.479424,0.778807,0.45679,0.959877,0.918724,0.757202,0.957819,1
0.848765,0.916667,0.765432,0.411523,0.968107,0.470165,0.955761,1,0.901235,0.933128
0.97428,0.561728,0.442387,0.435185,0.90535,0.967078,0.924897,0.954733,0.947531,0.923868
0.959877,0.949588,0.400206,0.441358,0.916667,0.809671,0.957819,0.909465,0.854938,0.910494
0.918724,0.45679,0.398148,0.465021,0.99177,0.911523,0.824074,0.942387,0.884774,0.944444
0.507202,0.967078,0.43107,0.791152,0.899177,0.958848,0.888889,0.973251,0.911523,0.889918
0.445473,0.861111,0.5,0.787037,0.622428,0.822016,0.589506,0.981481,0.856996,0.901235
0.451646,0.604938,0.429012,0.485597,0.458848,0.868313,0.800412,0.947531,0.761317,0.843621
0.495885,0.972222,0.587449,0.838477,0.858025,0.735597,0.847737,0.489712,0.516461,0.811728
0.483539,0.533951,0.402263,0.874486,0.804527,0.843621,0.888889,0.936214,0.852881,0.549383
0.88786,0.504115,0.942387,0.934156,0.953704,0.420782,0.542181,0.628601,0.791152,0.822016
0.953704,0.423868,0.900206,0.645062,0.666667,0.55144,0.994856,0.83642,0.926955,0.825103
0.592593,0.579218,0.925926,0.565844,0.851852,0.790123,0.946502,0.886831,0.901235,0.927984
0.45679,0.934156,0.50823,0.835391,0.897119,0.914609,0.921811,0.845679,0.502058,0.917695
0.476337,0.487654,0.938272,0.877572,0.864198,0.877572,0.993827,0.94856,0.816872,0.458848
0.443416,0.494856,0.519547,0.949588,0.979424,0.989712,0.946502,0.556584,0.815844,0.795267
0.4393,0.604938,0.48251,0.952675,0.688272,0.933128,0.438272,0.798354,0.900206,0.765432
