beta,avg_plaq,plaq_var,avg_sus,sus_var,binder_cum,binder_var
0.43545,0.486886,2.68077e-08,0.000572357,2.20321e-11,-0.101196,0.000482457
0.43546,0.486908,2.68165e-08,0.00057252,2.21031e-11,-0.101334,0.000484851
0.43547,0.486929,2.68253e-08,0.000572683,2.21744e-11,-0.101473,0.000487253
0.43548,0.486951,2.68343e-08,0.000572846,2.22462e-11,-0.101612,0.000489663
0.43549,0.486972,2.68433e-08,0.00057301,2.23184e-11,-0.101751,0.000492081
0.4355,0.486994,2.68523e-08,0.000573173,2.23911e-11,-0.10189,0.000494508
0.43551,0.487015,2.68614e-08,0.000573337,2.24642e-11,-0.10203,0.000496942
0.43552,0.487037,2.68706e-08,0.000573501,2.25378e-11,-0.102171,0.000499385
0.43553,0.487058,2.68798e-08,0.000573665,2.26118e-11,-0.102311,0.000501835
0.43554,0.48708,2.68891e-08,0.000573829,2.26863e-11,-0.102452,0.000504294
0.43555,0.487101,2.68984e-08,0.000573993,2.27612e-11,-0.102594,0.000506761
0.43556,0.487123,2.69079e-08,0.000574158,2.28366e-11,-0.102735,0.000509236
0.43557,0.487144,2.69173e-08,0.000574322,2.29125e-11,-0.102878,0.000511718
0.43558,0.487166,2.69269e-08,0.000574487,2.29888e-11,-0.10302,0.000514209
0.43559,0.487187,2.69365e-08,0.000574652,2.30656e-11,-0.103163,0.000516707
0.4356,0.487209,2.69461e-08,0.000574817,2.31429e-11,-0.103306,0.000519214
0.43561,0.48723,2.69559e-08,0.000574982,2.32207e-11,-0.10345,0.000521728
0.43562,0.487252,2.69657e-08,0.000575147,2.32989e-11,-0.103594,0.00052425
0.43563,0.487274,2.69755e-08,0.000575313,2.33776e-11,-0.103738,0.00052678
0.43564,0.487295,2.69854e-08,0.000575478,2.34568e-11,-0.103883,0.000529318
0.43565,0.487317,2.69954e-08,0.000575644,2.35365e-11,-0.104029,0.000531864
0.43566,0.487338,2.70055e-08,0.00057581,2.36167e-11,-0.104174,0.000534417
0.43567,0.48736,2.70156e-08,0.000575976,2.36974e-11,-0.10432,0.000536978
0.43568,0.487382,2.70258e-08,0.000576142,2.37786e-11,-0.104466,0.000539547
0.43569,0.487403,2.7036e-08,0.000576308,2.38603e-11,-0.104613,0.000542123
0.4357,0.487425,2.70463e-08,0.000576475,2.39426e-11,-0.10476,0.000544708
0.43571,0.487446,2.70567e-08,0.000576642,2.40253e-11,-0.104908,0.000547299
0.43572,0.487468,2.70671e-08,0.000576808,2.41085e-11,-0.105056,0.000549898
0.43573,0.48749,2.70777e-08,0.000576975,2.41923e-11,-0.105204,0.000552505
0.43574,0.487511,2.70882e-08,0.000577142,2.42766e-11,-0.105353,0.000555119
0.43575,0.48705,2.83042e-08,0.000566483,1.7544e-11,-0.0694743,0.000138113
0.43576,0.487071,2.83283e-08,0.000566631,1.75704e-11,-0.0695029,0.000138525
0.43577,0.487093,2.83525e-08,0.000566779,1.7597e-11,-0.0695315,0.000138938
0.43578,0.487114,2.83767e-08,0.000566927,1.76237e-11,-0.0695601,0.000139353
0.43579,0.487135,2.84011e-08,0.000567075,1.76505e-11,-0.0695887,0.000139769
0.4358,0.487156,2.84255e-08,0.000567224,1.76774e-11,-0.0696173,0.000140187
0.43581,0.487178,2.84501e-08,0.000567372,1.77044e-11,-0.0696458,0.000140607
0.43582,0.487199,2.84747e-08,0.000567521,1.77316e-11,-0.0696743,0.000141028
0.43583,0.48722,2.84994e-08,0.00056767,1.77588e-11,-0.0697029,0.00014145
0.43584,0.487241,2.85241e-08,0.000567818,1.77862e-11,-0.0697314,0.000141874
0.43585,0.487263,2.8549e-08,0.000567967,1.78137e-11,-0.0697599,0.0001423
0.43586,0.487284,2.8574e-08,0.000568116,1.78413e-11,-0.0697884,0.000142727
0.43587,0.487305,2.8599e-08,0.000568265,1.7869e-11,-0.0698169,0.000143155
0.43588,0.487327,2.86241e-08,0.000568414,1.78969e-11,-0.0698453,0.000143585
0.43589,0.487348,2.86494e-08,0.000568564,1.79249e-11,-0.0698738,0.000144017
0.4359,0.487369,2.86747e-08,0.000568713,1.79529e-11,-0.0699023,0.000144451
0.43591,0.487391,2.87001e-08,0.000568862,1.79811e-11,-0.0699307,0.000144885
0.43592,0.487412,2.87255e-08,0.000569012,1.80095e-11,-0.0699591,0.000145322
0.43593,0.487433,2.87511e-08,0.000569162,1.80379e-11,-0.0699875,0.00014576
0.43594,0.487455,2.87768e-08,0.000569311,1.80665e-11,-0.0700159,0.0001462
0.43595,0.487476,2.88025e-08,0.000569461,1.80952e-11,-0.0700443,0.000146641
0.43596,0.487497,2.88283e-08,0.000569611,1.8124e-11,-0.0700727,0.000147084
0.43597,0.487519,2.88543e-08,0.000569761,1.81529e-11,-0.0701011,0.000147528
0.43598,0.48754,2.88803e-08,0.000569911,1.8182e-11,-0.0701294,0.000147974
0.43599,0.487561,2.89064e-08,0.000570061,1.82111e-11,-0.0701578,0.000148422
