beta,avg_plaq,plaq_var,avg_sus,sus_var
0.419,0.45169,1.00192e-07,0.000957275,1.55312e-10
0.41901,0.451705,1.00223e-07,0.000957422,1.55515e-10
0.41902,0.45172,1.00255e-07,0.00095757,1.55719e-10
0.41903,0.451734,1.00286e-07,0.000957718,1.55924e-10
0.41904,0.451749,1.00318e-07,0.000957865,1.56128e-10
0.41905,0.451764,1.00349e-07,0.000958013,1.56334e-10
0.41906,0.451778,1.00381e-07,0.000958161,1.56539e-10
0.41907,0.451793,1.00413e-07,0.000958309,1.56746e-10
0.41908,0.451808,1.00445e-07,0.000958457,1.56952e-10
0.41909,0.451823,1.00477e-07,0.000958605,1.57159e-10
0.4191,0.451837,1.00509e-07,0.000958753,1.57367e-10
0.41911,0.451852,1.00541e-07,0.000958901,1.57575e-10
0.41912,0.451867,1.00574e-07,0.000959049,1.57783e-10
0.41913,0.451882,1.00606e-07,0.000959197,1.57992e-10
0.41914,0.451896,1.00639e-07,0.000959345,1.58202e-10
0.41915,0.451911,1.00671e-07,0.000959493,1.58411e-10
0.41916,0.451926,1.00704e-07,0.000959641,1.58622e-10
0.41917,0.45194,1.00737e-07,0.00095979,1.58832e-10
0.41918,0.451955,1.0077e-07,0.000959938,1.59044e-10
0.41919,0.45197,1.00803e-07,0.000960086,1.59255e-10
0.4192,0.451985,1.00836e-07,0.000960235,1.59467e-10
0.41921,0.451999,1.0087e-07,0.000960383,1.5968e-10
0.41922,0.452014,1.00903e-07,0.000960532,1.59893e-10
0.41923,0.452029,1.00936e-07,0.000960681,1.60107e-10
0.41924,0.452044,1.0097e-07,0.000960829,1.60321e-10
0.41925,0.452058,1.01004e-07,0.000960978,1.60535e-10
0.41926,0.452073,1.01037e-07,0.000961127,1.6075e-10
0.41927,0.452088,1.01071e-07,0.000961275,1.60965e-10
0.41928,0.452103,1.01105e-07,0.000961424,1.61181e-10
0.41929,0.452118,1.0114e-07,0.000961573,1.61398e-10
0.4193,0.452132,1.01174e-07,0.000961722,1.61615e-10
0.41931,0.452147,1.01208e-07,0.000961871,1.61832e-10
0.41932,0.452162,1.01243e-07,0.00096202,1.6205e-10
0.41933,0.452177,1.01277e-07,0.000962169,1.62268e-10
0.41934,0.452191,1.01312e-07,0.000962318,1.62487e-10
0.41935,0.452206,1.01346e-07,0.000962467,1.62706e-10
0.41936,0.452221,1.01381e-07,0.000962617,1.62925e-10
0.41937,0.452236,1.01416e-07,0.000962766,1.63146e-10
0.41938,0.452251,1.01451e-07,0.000962915,1.63366e-10
0.41939,0.452265,1.01487e-07,0.000963065,1.63587e-10
0.4194,0.45228,1.01522e-07,0.000963214,1.63809e-10
0.41941,0.452295,1.01557e-07,0.000963363,1.64031e-10
0.41942,0.45231,1.01593e-07,0.000963513,1.64254e-10
0.41943,0.452325,1.01628e-07,0.000963662,1.64477e-10
0.41944,0.452339,1.01664e-07,0.000963812,1.647e-10
0.41945,0.452354,1.017e-07,0.000963962,1.64924e-10
0.41946,0.452369,1.01736e-07,0.000964111,1.65149e-10
0.41947,0.452384,1.01772e-07,0.000964261,1.65374e-10
0.41948,0.452399,1.01808e-07,0.000964411,1.656e-10
0.41949,0.452413,1.01844e-07,0.000964561,1.65826e-10
0.4195,0.452428,1.01881e-07,0.000964711,1.66052e-10
0.41951,0.452443,1.01917e-07,0.000964861,1.66279e-10
0.41952,0.452458,1.01954e-07,0.000965011,1.66507e-10
0.41953,0.452473,1.0199e-07,0.000965161,1.66735e-10
0.41954,0.452488,1.02027e-07,0.000965311,1.66963e-10
0.41955,0.452502,1.02064e-07,0.000965461,1.67192e-10
0.41956,0.452517,1.02101e-07,0.000965611,1.67422e-10
0.41957,0.452532,1.02138e-07,0.000965761,1.67652e-10
0.41958,0.452547,1.02176e-07,0.000965912,1.67882e-10
0.41959,0.452562,1.02213e-07,0.000966062,1.68113e-10
0.4196,0.452577,1.0225e-07,0.000966212,1.68345e-10
0.41961,0.452591,1.02288e-07,0.000966363,1.68577e-10
0.41962,0.452606,1.02326e-07,0.000966513,1.6881e-10
0.41963,0.452621,1.02363e-07,0.000966664,1.69043e-10
0.41964,0.452636,1.02401e-07,0.000966814,1.69276e-10
0.41965,0.452651,1.02439e-07,0.000966965,1.6951e-10
0.41966,0.452666,1.02478e-07,0.000967116,1.69745e-10
0.41967,0.45268,1.02516e-07,0.000967266,1.6998e-10
0.41968,0.452695,1.02554e-07,0.000967417,1.70216e-10
0.41969,0.45271,1.02593e-07,0.000967568,1.70452e-10
0.4197,0.452725,1.02631e-07,0.000967719,1.70689e-10
0.41971,0.45274,1.0267e-07,0.00096787,1.70926e-10
0.41972,0.452755,1.02709e-07,0.000968021,1.71164e-10
0.41973,0.45277,1.02748e-07,0.000968172,1.71402e-10
0.41974,0.452785,1.02787e-07,0.000968323,1.71641e-10
0.41975,0.452799,1.02826e-07,0.000968474,1.7188e-10
0.41976,0.452814,1.02865e-07,0.000968625,1.7212e-10
0.41977,0.452829,1.02904e-07,0.000968776,1.7236e-10
0.41978,0.452844,1.02944e-07,0.000968927,1.72601e-10
0.41979,0.452859,1.02984e-07,0.000969079,1.72842e-10
0.4198,0.452874,1.03023e-07,0.00096923,1.73084e-10
0.41981,0.452889,1.03063e-07,0.000969381,1.73327e-10
0.41982,0.452904,1.03103e-07,0.000969533,1.7357e-10
