Beta,Avg Plaq,Plaq Sus,Jackknife Action Var,Jackknife Sus Var
0.4321826826826827,0.4795111339516356,0.0005355700567982152,0.0006639551159333572,2.0271584544234624e-05
0.4321836836836837,0.4795131443787864,0.0005355855281471125,0.0006639740616406773,2.0273228899843033e-05
0.4321846846846847,0.4795151548640121,0.0005356010008417422,0.0006639930180864432,2.0274873689028635e-05
0.43218568568568566,0.47951716540732203,0.0005356164748822354,0.0006640119852717421,2.0276518911884643e-05
0.4321866866866867,0.4795191760087199,0.0005356319502687177,0.0006640309631977599,2.0278164568506166e-05
0.43218768768768767,0.47952118666821086,0.0005356474270013162,0.0006640499518662787,2.0279810658987597e-05
0.4321886886886887,0.4795231973857978,0.0005356629050801554,0.0006640689512785279,2.028145718342431e-05
0.4321896896896897,0.4795252081614891,0.0005356783845053657,0.0006640879614355151,2.028310414190988e-05
0.43219069069069066,0.4795272189952985,0.0005356938652770841,0.0006641069823387271,2.028475153453594e-05
0.4321916916916917,0.4795292298872099,0.0005357093473954137,0.0006641260139893603,2.0286399361404398e-05
0.43219269269269267,0.4795312408372436,0.0005357248308604986,0.0006641450563890716,2.028804762260467e-05
0.4321936936936937,0.47953325184540163,0.0005357403156724622,0.0006641641095388332,2.0289696318232666e-05
0.4321946946946947,0.4795352629116868,0.0005357558018314288,0.0006641831734400261,2.029134544838344e-05
0.4321956956956957,0.47953727403610813,0.0005357712893375302,0.0006642022480940455,2.0292995013150976e-05
0.4321966966966967,0.4795392852186633,0.0005357867781908847,0.0006642213335022546,2.029464501263205e-05
0.43219769769769767,0.47954129645936916,0.0005358022683916326,0.0006642404296658657,2.0296295446917877e-05
0.4321986986986987,0.47954330775822274,0.0005358177599398923,0.0006642595365860449,2.029794631610545e-05
0.4321996996996997,0.47954531911522524,0.0005358332528357858,0.0006642786542645087,2.029959762029123e-05
0.4322007007007007,0.47954733053039317,0.0005358487470794531,0.0006642977827022542,2.0301249359566196e-05
0.4322017017017017,0.47954934200371974,0.0005358642426710082,0.0006643169219006966,2.0302901534029175e-05
0.4322027027027027,0.47955135353522244,0.0005358797396105916,0.000664336071861138,2.0304554143771015e-05
0.4322037037037037,0.479553365124891,0.0005358952378983133,0.0006643552325851022,2.0306207188891167e-05
0.4322047047047047,0.47955537677273935,0.0005359107375343104,0.0006643744040734319,2.0307860669482143e-05
0.4322057057057057,0.4795573884787786,0.0005359262385187165,0.0006643935863278461,2.0309514585636843e-05
0.4322067067067067,0.4795594002429978,0.0005359417408516408,0.0006644127793495124,2.0311168937455363e-05
0.4322077077077077,0.4795614120654246,0.0005359572445332354,0.0006644319831396957,2.0312823725025386e-05
0.4322087087087087,0.47956342394603446,0.0005359727495635944,0.0006644511977000304,2.0314478948451563e-05
0.4322097097097097,0.479565435884864,0.0005359882559428798,0.0006644704230315151,2.0316134607818164e-05
0.4322107107107107,0.47956744788189887,0.0005360037636711972,0.0006644896591353835,2.031779070322723e-05
0.4322117117117117,0.4795694599371453,0.0005360192727486749,0.000664508906013189,2.0319447234773327e-05
0.4322127127127127,0.47957147205061507,0.0005360347831754474,0.0006645281636662038,2.032110420254902e-05
0.4322137137137137,0.47957348422230894,0.0005360502949516367,0.0006645474320957967,2.0322761606650863e-05
0.43221471471471473,0.47957549645222863,0.0005360658080773667,0.0006645667113029974,2.032441944717531e-05
0.4322157157157157,0.4795775087403849,0.0005360813225527702,0.0006645860012894849,2.0326077724215503e-05
0.4322167167167167,0.479579521086788,0.0005360968383779804,0.0006646053020562034,2.0327736437864775e-05
0.4322177177177177,0.47958153349143073,0.0005361123555531103,0.0006646246136049312,2.032939558822272e-05
0.4322187187187187,0.4795835459543226,0.0005361278740782926,0.0006646439359367967,2.0331055175382627e-05
0.43221971971971973,0.47958555847546924,0.0005361433939536542,0.0006646632690528057,2.0332715199439647e-05
0.4322207207207207,0.4795875710548752,0.0005361589151793221,0.0006646826129548343,2.0334375660489226e-05
0.43222172172172174,0.47958958369254745,0.0005361744377554254,0.0006647019676436271,2.0336036558626335e-05
0.4322227227227227,0.4795915963884982,0.000536189961682099,0.000664721333120883,2.0337697893943328e-05
0.4322237237237237,0.4795936091427171,0.000536205486959453,0.0006647407093879104,2.0339359666540758e-05
0.43222472472472473,0.47959562195521654,0.0005362210135876223,0.0006647600964458509,2.034102187651183e-05
0.4322257257257257,0.4795976348260028,0.000536236541566736,0.0006647794942962247,2.03426845239513e-05
0.43222672672672674,0.4795996477550794,0.0005362520708969188,0.0006647989029399738,2.034434760895473e-05
0.4322277277277277,0.4796016607424524,0.0005362676015782992,0.000664818322378847,2.0346011131617588e-05
0.43222872872872875,0.4796036737881268,0.0005362831336110043,0.0006648377526141064,2.0347675092035042e-05
0.43222972972972973,0.4796056868921067,0.0005362986669951601,0.0006648571936466112,2.03493394903031e-05
0.4322307307307307,0.4796077000543973,0.0005363142017308935,0.0006648766454783119,2.035100432651676e-05
0.43223173173173174,0.47960971327500407,0.0005363297378183324,0.0006648961081100167,2.0352669600771783e-05
0.4322327327327327,0.47961172655393436,0.0005363452752576065,0.0006649155815433723,2.0354335313162594e-05
0.43223373373373375,0.47961373989118283,0.0005363608140488312,0.0006649350657796739,2.0356001463788237e-05
0.4322347347347347,0.4796157532867709,0.0005363763541921523,0.0006649545608200681,2.0357668052738534e-05
0.4322357357357357,0.4796177667406959,0.0005363918956876874,0.0006649740666661375,2.0359335080112118e-05
0.43223673673673674,0.47961978025295854,0.0005364074385355595,0.0006649935833187326,2.0361002546005812e-05
0.4322377377377377,0.4796217938235626,0.000536422982735894,0.0006650131107797179,2.0362670450515173e-05
0.43223873873873875,0.47962380745252786,0.0005364385282888346,0.0006650326490500204,2.0364338793731317e-05
0.4322397397397397,0.4796258211398542,0.0005364540751945027,0.0006650521981311704,2.0366007575751483e-05
0.43224074074074076,0.4796278348855283,0.0005364696234530049,0.0006650717580244164,2.0367676796677847e-05
0.43224174174174174,0.4796298486895736,0.0005364851730644887,0.0006650913287309383,2.0369346456599155e-05
0.4322427427427427,0.4796318625519931,0.0005365007240290791,0.0006651109102522863,2.037101655561227e-05
0.43224374374374375,0.47963387647278827,0.0005365162763468994,0.0006651305025897957,2.037268709381402e-05
0.4322447447447447,0.4796358904519697,0.0005365318300180824,0.0006651501057447079,2.0374358071298186e-05
