Beta,Avg Plaq,Plaq Sus,Jackknife Action Var,Jackknife Sus Var
0.4,0.42996049750000004,0.0032769626431093934,0.001375961387639216,0.00017336073440803217
0.405,0.4402869385,0.004176379155871118,0.001670622733274408,0.00028744921666640336
0.41,0.45229136589999996,0.006116305613993017,0.0015334816726829588,0.000489541977091014
0.415,0.47252088519999996,0.01051552981245242,0.002487298926333597,0.0007303063920934846
0.42,0.5071752083000001,0.019360960260630715,0.004995854080249368,0.001745584600782731
0.425,0.5718469177,0.03424964183794233,0.008930724469021266,0.0017817739353553044
0.43,0.6740599821,0.04493211643592298,0.013004424347178788,0.0009835886928603256
0.435,0.7818473270999999,0.03807067097679411,0.010494245301822283,0.00164121747405319
0.44,0.8491869397999999,0.025646418348005774,0.008716184363169618,0.002360732568138856
0.445,0.8977580245000001,0.012775865121103097,0.004427606638505497,0.001348824549635289
0.45,0.9192003119000001,0.006746132435871018,0.0026482081173263778,0.0009416599024925606
0.455,0.9332122456,0.00397935275293768,0.00176888017670939,0.00042359187313073223
0.46,0.9410377582999999,0.0025940964976054813,0.0008305046195374951,0.00020403396233388657
0.465,0.9461400232,0.0019548137624248616,0.001061296170506077,0.00015915389962008574
0.47,0.9507751092000001,0.0016987069304594754,0.0008137372346914913,0.00012287170141030826
0.475,0.9546288138,0.0013895615369343296,0.000993101176375263,8.767005541590042e-05
0.48,0.9575360126,0.0011873564611314413,0.0009042226483275396,6.351487818672224e-05
0.485,0.9598407389,0.001133339963434327,0.0006836557780505111,6.14259824270112e-05
0.49,0.9631305639000001,0.000946228149171317,0.0007510249818228821,5.0595166443875304e-05
0.495,0.9652156455,0.0008691877640356299,0.0007745843316271379,4.1278141217157285e-05
