Beta,Avg Plaq,Plaq Sus,Jackknife Action Var,Jackknife Sus Var
0.43,0.4755662128,0.0004947696703129162,0.0006655093051627939,1.5608265497218533e-05
0.431,0.47699871050000003,0.0005163772544072899,0.0006066075504319175,1.867406184111745e-05
0.432,0.4791451983,0.000532768938687977,0.0006606759805171513,1.997865320182478e-05
0.433,0.48120147720000006,0.0005165939341856802,0.0005269752103959631,1.880163289478893e-05
0.434,0.4835924581,0.0006142764332382445,0.0006358298055706104,5.3363451647172804e-05
0.435,0.4861773476999999,0.0007382240740982048,0.0006760970823497849,0.00011876227017290245
0.436,0.4922250495,0.00234523661308985,0.001236701688821461,0.0003677282327386962
0.437,0.5061886296,0.007247648675161605,0.0022510468165864443,0.0008401230836809789
0.438,0.5712037572,0.027463737455664047,0.00737061966638055,0.0019564791834142787
0.439,0.8325636582999999,0.02729450620036294,0.006093582421389525,0.0015317348652690856
0.44,0.8969684645000001,0.0070866966539909395,0.0023993258426087973,0.0009217699109200435
0.441,0.9118100691,0.0018547543444793252,0.0011299125291096164,0.00035379334327211465
0.442,0.9155420496000001,0.0009465672205633398,0.0007066871595676255,0.0002005135022902421
0.443,0.9186907250999998,0.00054404547141653,0.00046865269018940233,7.149647319940464e-05
0.444,0.9204570534999998,0.0004935250639584377,0.0005069891551223302,8.566197537717338e-05
0.445,0.9223834377,0.00042759131592411863,0.0005254327620371822,3.908355641266636e-05
0.446,0.9238742954000001,0.0003876201897605388,0.0004512216023165193,1.1327057018322936e-05
0.447,0.9253551995,0.0003825954617678997,0.00045906384007979843,1.028854625660216e-05
0.448,0.926927995,0.000356308254368175,0.0004894502989215083,1.2970341085626165e-05
0.449,0.9281581592,0.0003466150713594554,0.0004798573471784543,1.2560216625371151e-05
