Beta,Avg Plaq,Plaq Sus,Jacknif Action Var,Jacknife Sus Var ,tau
0.42,0.508732,0.0189183,9.21982e-07,9.36131e-08,42
0.422,0.53118,0.0243506,1.92944e-06,1.2574e-07,24
0.424,0.572147,0.0328787,9.92262e-05,3.76761e-06,1
0.426,0.587697,0.0352987,0.000112075,3.53385e-06,1
0.428,0.615852,0.0392197,0.00013084,2.30031e-06,1
0.43,0.672682,0.0424864,0.00014799,3.78152e-07,1
0.432,0.717951,0.0426522,1.17483e-05,6.14594e-08,10
0.434,0.754163,0.0400173,6.6804e-06,8.59922e-08,29
0.436,0.777755,0.0372036,0.000137646,3.39702e-06,1
0.438,0.822588,0.0294681,1.47553e-06,8.17419e-08,103
0.44,0.851817,0.022739,4.79631e-05,3.51089e-06,1
0.442,0.857151,0.022375,8.28426e-05,6.51992e-06,1
0.444,0.8908,0.0130299,2.77697e-06,3.43448e-07,9
0.446,0.898939,0.0112723,7.53378e-07,7.58226e-08,56
0.448,0.909503,0.00853678,1.17409e-06,1.65244e-07,9
