beta,avg_plaq,plaq_var,avg_sus,sus_var
0.43236,0.72538,1.151e-05,0.0422593,7.65999e-08
0.43237,0.725585,1.15028e-05,0.0422471,7.70566e-08
0.43238,0.725791,1.14955e-05,0.0422349,7.75151e-08
0.43239,0.725996,1.14882e-05,0.0422227,7.79753e-08
0.4324,0.726201,1.14809e-05,0.0422103,7.84374e-08
0.43241,0.726406,1.14735e-05,0.0421979,7.89012e-08
0.43242,0.726611,1.14661e-05,0.0421855,7.93668e-08
0.43243,0.726816,1.14587e-05,0.042173,7.9834e-08
0.43244,0.727021,1.14512e-05,0.0421604,8.03031e-08
0.43245,0.727226,1.14437e-05,0.0421477,8.07738e-08
0.43246,0.727431,1.14362e-05,0.042135,8.12462e-08
0.43247,0.727636,1.14287e-05,0.0421222,8.17203e-08
0.43248,0.72784,1.14211e-05,0.0421094,8.21961e-08
0.43249,0.728045,1.14135e-05,0.0420965,8.26735e-08
0.4325,0.728249,1.14058e-05,0.0420835,8.31526e-08
0.43251,0.728454,1.13981e-05,0.0420704,8.36333e-08
0.43252,0.728658,1.13904e-05,0.0420573,8.41156e-08
0.43253,0.728863,1.13827e-05,0.0420442,8.45995e-08
0.43254,0.729067,1.13749e-05,0.0420309,8.5085e-08
0.43255,0.729271,1.13671e-05,0.0420176,8.55721e-08
0.43256,0.729475,1.13593e-05,0.0420043,8.60608e-08
0.43257,0.72968,1.13514e-05,0.0419909,8.6551e-08
0.43258,0.729884,1.13435e-05,0.0419774,8.70427e-08
0.43259,0.730088,1.13356e-05,0.0419638,8.7536e-08
0.4326,0.730291,1.13276e-05,0.0419502,8.80308e-08
0.43261,0.730495,1.13196e-05,0.0419365,8.8527e-08
0.43262,0.730699,1.13116e-05,0.0419228,8.90248e-08
0.43263,0.730903,1.13035e-05,0.041909,8.9524e-08
0.43264,0.731106,1.12955e-05,0.0418951,9.00247e-08
0.43265,0.73131,1.12874e-05,0.0418812,9.05269e-08
0.43266,0.731514,1.12792e-05,0.0418672,9.10304e-08
0.43267,0.731717,1.1271e-05,0.0418532,9.15354e-08
0.43268,0.73192,1.12628e-05,0.0418391,9.20418e-08
0.43269,0.732124,1.12546e-05,0.0418249,9.25496e-08
0.4327,0.732327,1.12464e-05,0.0418107,9.30588e-08
0.43271,0.73253,1.12381e-05,0.0417964,9.35693e-08
0.43272,0.732733,1.12297e-05,0.041782,9.40811e-08
0.43273,0.732936,1.12214e-05,0.0417676,9.45943e-08
0.43274,0.733139,1.1213e-05,0.0417531,9.51089e-08
0.43275,0.733342,1.12046e-05,0.0417385,9.56247e-08
0.43276,0.733545,1.11962e-05,0.0417239,9.61418e-08
0.43277,0.733748,1.11877e-05,0.0417093,9.66602e-08
0.43278,0.73395,1.11792e-05,0.0416945,9.71799e-08
0.43279,0.734153,1.11707e-05,0.0416797,9.77008e-08
0.4328,0.734355,1.11621e-05,0.0416649,9.8223e-08
0.43281,0.734558,1.11536e-05,0.04165,9.87464e-08
0.43282,0.73476,1.1145e-05,0.041635,9.9271e-08
0.43283,0.734962,1.11363e-05,0.04162,9.97968e-08
0.43284,0.735165,1.11277e-05,0.0416049,1.00324e-07
0.43285,0.735367,1.1119e-05,0.0415897,1.00852e-07
0.43286,0.735569,1.11102e-05,0.0415745,1.01381e-07
0.43287,0.735771,1.11015e-05,0.0415592,1.01912e-07
0.43288,0.735973,1.10927e-05,0.0415439,1.02443e-07
0.43289,0.736175,1.10839e-05,0.0415285,1.02976e-07
0.4329,0.736377,1.10751e-05,0.041513,1.0351e-07
0.43291,0.736578,1.10662e-05,0.0414975,1.04045e-07
0.43292,0.73678,1.10573e-05,0.0414819,1.04581e-07
0.43293,0.736982,1.10484e-05,0.0414663,1.05118e-07
0.43294,0.737183,1.10394e-05,0.0414506,1.05656e-07
0.43295,0.737384,1.10305e-05,0.0414348,1.06195e-07
0.43296,0.737586,1.10215e-05,0.041419,1.06735e-07
0.43297,0.737787,1.10124e-05,0.0414031,1.07276e-07
0.43298,0.737988,1.10034e-05,0.0413872,1.07818e-07
0.43299,0.738189,1.09943e-05,0.0413712,1.08361e-07
0.433,0.734266,7.26862e-06,0.0417717,5.06013e-08
0.43301,0.734469,7.26363e-06,0.041757,5.09206e-08
0.43302,0.734672,7.25863e-06,0.0417423,5.12409e-08
0.43303,0.734874,7.2536e-06,0.0417275,5.15622e-08
0.43304,0.735077,7.24855e-06,0.0417127,5.18844e-08
0.43305,0.73528,7.24348e-06,0.0416977,5.22077e-08
0.43306,0.735482,7.23839e-06,0.0416828,5.25319e-08
0.43307,0.735685,7.23329e-06,0.0416677,5.28571e-08
0.43308,0.735887,7.22816e-06,0.0416527,5.31832e-08
0.43309,0.73609,7.22301e-06,0.0416375,5.35103e-08
0.4331,0.736292,7.21785e-06,0.0416223,5.38383e-08
0.43311,0.736494,7.21266e-06,0.041607,5.41672e-08
0.43312,0.736697,7.20746e-06,0.0415917,5.4497e-08
0.43313,0.736899,7.20223e-06,0.0415763,5.48277e-08
0.43314,0.737101,7.19699e-06,0.0415608,5.51593e-08
0.43315,0.737303,7.19172e-06,0.0415453,5.54919e-08
0.43316,0.737505,7.18644e-06,0.0415297,5.58252e-08
0.43317,0.737706,7.18114e-06,0.0415141,5.61595e-08
0.43318,0.737908,7.17582e-06,0.0414984,5.64946e-08
0.43319,0.73811,7.17048e-06,0.0414826,5.68306e-08
0.4332,0.738311,7.16512e-06,0.0414668,5.71673e-08
0.43321,0.738513,7.15974e-06,0.0414509,5.7505e-08
0.43322,0.738714,7.15434e-06,0.041435,5.78434e-08
0.43323,0.738916,7.14893e-06,0.041419,5.81827e-08
0.43324,0.739117,7.14349e-06,0.0414029,5.85227e-08
0.43325,0.739318,7.13804e-06,0.0413868,5.88636e-08
0.43326,0.739519,7.13257e-06,0.0413707,5.92052e-08
0.43327,0.73972,7.12708e-06,0.0413544,5.95476e-08
0.43328,0.739921,7.12157e-06,0.0413381,5.98907e-08
0.43329,0.740122,7.11604e-06,0.0413218,6.02347e-08
0.4333,0.740323,7.1105e-06,0.0413054,6.05793e-08
0.43331,0.740523,7.10493e-06,0.0412889,6.09247e-08
0.43332,0.740724,7.09935e-06,0.0412724,6.12708e-08
0.43333,0.740925,7.09375e-06,0.0412558,6.16177e-08
0.43334,0.741125,7.08813e-06,0.0412391,6.19652e-08
0.43335,0.741325,7.08249e-06,0.0412224,6.23135e-08
0.43336,0.741526,7.07684e-06,0.0412057,6.26624e-08
0.43337,0.741726,7.07117e-06,0.0411888,6.3012e-08
0.43338,0.741926,7.06548e-06,0.041172,6.33623e-08
0.43339,0.742126,7.05977e-06,0.041155,6.37132e-08
0.4334,0.742326,7.05404e-06,0.041138,6.40648e-08
0.43341,0.742526,7.0483e-06,0.041121,6.4417e-08
0.43342,0.742726,7.04254e-06,0.0411039,6.47699e-08
0.43343,0.742925,7.03676e-06,0.0410867,6.51234e-08
0.43344,0.743125,7.03096e-06,0.0410695,6.54775e-08
0.43345,0.743325,7.02515e-06,0.0410522,6.58322e-08
0.43346,0.743524,7.01932e-06,0.0410349,6.61875e-08
0.43347,0.743724,7.01347e-06,0.0410175,6.65433e-08
0.43348,0.743923,7.0076e-06,0.041,6.68998e-08
0.43349,0.744122,7.00172e-06,0.0409825,6.72568e-08
0.4335,0.744321,6.99582e-06,0.040965,6.76144e-08
0.43351,0.74452,6.9899e-06,0.0409473,6.79725e-08
0.43352,0.744719,6.98396e-06,0.0409297,6.83311e-08
0.43353,0.744918,6.97801e-06,0.0409119,6.86903e-08
0.43354,0.745117,6.97205e-06,0.0408941,6.905e-08
0.43355,0.745316,6.96606e-06,0.0408763,6.94102e-08
0.43356,0.745514,6.96006e-06,0.0408584,6.97709e-08
0.43357,0.745713,6.95404e-06,0.0408404,7.01321e-08
0.43358,0.745911,6.948e-06,0.0408224,7.04938e-08
0.43359,0.74611,6.94195e-06,0.0408044,7.08559e-08
0.4336,0.746308,6.93588e-06,0.0407862,7.12185e-08
0.43361,0.746506,6.9298e-06,0.0407681,7.15816e-08
0.43362,0.746704,6.9237e-06,0.0407498,7.19451e-08
0.43363,0.746902,6.91758e-06,0.0407315,7.2309e-08
0.43364,0.7471,6.91145e-06,0.0407132,7.26734e-08
0.43365,0.747298,6.9053e-06,0.0406948,7.30381e-08
0.43366,0.747495,6.89913e-06,0.0406763,7.34033e-08
0.43367,0.747693,6.89295e-06,0.0406578,7.37689e-08
0.43368,0.747891,6.88675e-06,0.0406393,7.41348e-08
0.43369,0.748088,6.88054e-06,0.0406207,7.45012e-08
0.4337,0.748286,6.87431e-06,0.040602,7.48678e-08
0.43371,0.748483,6.86807e-06,0.0405833,7.52349e-08
0.43372,0.74868,6.8618e-06,0.0405645,7.56023e-08
0.43373,0.748877,6.85553e-06,0.0405457,7.597e-08
0.43374,0.749074,6.84924e-06,0.0405268,7.63381e-08
0.43375,0.749271,6.84293e-06,0.0405078,7.67065e-08
0.43376,0.749468,6.83661e-06,0.0404888,7.70752e-08
0.43377,0.749665,6.83027e-06,0.0404698,7.74441e-08
0.43378,0.749861,6.82391e-06,0.0404507,7.78134e-08
0.43379,0.750058,6.81754e-06,0.0404315,7.8183e-08
0.4338,0.750254,6.81116e-06,0.0404123,7.85528e-08
0.43381,0.750451,6.80476e-06,0.0403931,7.89229e-08
0.43382,0.750647,6.79835e-06,0.0403738,7.92933e-08
0.43383,0.750843,6.79192e-06,0.0403544,7.96639e-08
0.43384,0.751039,6.78547e-06,0.040335,8.00347e-08
0.43385,0.751235,6.77901e-06,0.0403155,8.04057e-08
0.43386,0.751431,6.77254e-06,0.040296,8.0777e-08
0.43387,0.751627,6.76605e-06,0.0402764,8.11485e-08
0.43388,0.751822,6.75955e-06,0.0402568,8.15201e-08
0.43389,0.752018,6.75303e-06,0.0402371,8.1892e-08
0.4339,0.752214,6.7465e-06,0.0402174,8.2264e-08
0.43391,0.752409,6.73995e-06,0.0401976,8.26362e-08
0.43392,0.752604,6.73339e-06,0.0401778,8.30086e-08
0.43393,0.752799,6.72682e-06,0.0401579,8.33811e-08
0.43394,0.752995,6.72023e-06,0.040138,8.37538e-08
0.43395,0.75319,6.71362e-06,0.040118,8.41266e-08
0.43396,0.753385,6.70701e-06,0.0400979,8.44995e-08
0.43397,0.753579,6.70038e-06,0.0400778,8.48725e-08
0.43398,0.753774,6.69373e-06,0.0400577,8.52456e-08
0.43399,0.753969,6.68707e-06,0.0400375,8.56188e-08
0.434,0.754163,6.6804e-06,0.0400173,8.59922e-08
0.43401,0.754358,6.67371e-06,0.039997,8.63655e-08
0.43402,0.754552,6.66701e-06,0.0399767,8.6739e-08
0.43403,0.754746,6.6603e-06,0.0399563,8.71125e-08
0.43404,0.75494,6.65357e-06,0.0399358,8.74861e-08
0.43405,0.755134,6.64683e-06,0.0399153,8.78597e-08
0.43406,0.755328,6.64007e-06,0.0398948,8.82333e-08
0.43407,0.755522,6.6333e-06,0.0398742,8.8607e-08
0.43408,0.755716,6.62652e-06,0.0398536,8.89806e-08
0.43409,0.75591,6.61973e-06,0.0398329,8.93543e-08
0.4341,0.756103,6.61292e-06,0.0398121,8.9728e-08
0.43411,0.756297,6.6061e-06,0.0397914,9.01016e-08
0.43412,0.75649,6.59927e-06,0.0397705,9.04753e-08
0.43413,0.756683,6.59242e-06,0.0397496,9.08489e-08
0.43414,0.756876,6.58556e-06,0.0397287,9.12224e-08
0.43415,0.757069,6.57869e-06,0.0397077,9.15959e-08
0.43416,0.757262,6.5718e-06,0.0396867,9.19694e-08
0.43417,0.757455,6.56491e-06,0.0396656,9.23428e-08
0.43418,0.757648,6.558e-06,0.0396445,9.27161e-08
0.43419,0.75784,6.55107e-06,0.0396233,9.30893e-08
0.4342,0.758033,6.54414e-06,0.0396021,9.34624e-08
0.43421,0.758225,6.53719e-06,0.0395808,9.38354e-08
0.43422,0.758418,6.53023e-06,0.0395595,9.42083e-08
0.43423,0.75861,6.52326e-06,0.0395382,9.45811e-08
0.43424,0.758802,6.51627e-06,0.0395168,9.49538e-08
0.43425,0.758994,6.50928e-06,0.0394953,9.53263e-08
0.43426,0.759186,6.50227e-06,0.0394738,9.56987e-08
0.43427,0.759378,6.49525e-06,0.0394522,9.60709e-08
0.43428,0.759569,6.48822e-06,0.0394306,9.64429e-08
0.43429,0.759761,6.48117e-06,0.039409,9.68148e-08
0.4343,0.759952,6.47412e-06,0.0393873,9.71865e-08
0.43431,0.760144,6.46705e-06,0.0393656,9.7558e-08
0.43432,0.760335,6.45997e-06,0.0393438,9.79293e-08
0.43433,0.760526,6.45288e-06,0.039322,9.83004e-08
0.43434,0.760717,6.44578e-06,0.0393001,9.86713e-08
0.43435,0.760908,6.43867e-06,0.0392782,9.90419e-08
0.43436,0.761099,6.43154e-06,0.0392562,9.94124e-08
0.43437,0.76129,6.42441e-06,0.0392342,9.97825e-08
0.43438,0.76148,6.41726e-06,0.0392121,1.00152e-07
0.43439,0.761671,6.4101e-06,0.03919,1.00522e-07
0.4344,0.761861,6.40293e-06,0.0391679,1.00892e-07
0.43441,0.762052,6.39575e-06,0.0391457,1.01261e-07
0.43442,0.762242,6.38856e-06,0.0391234,1.01629e-07
